,date,gateway,median_success_latency,weighted_success_latency,p_90_latency,success_rate,total_success
1184,2022-11-08 06:19:16,ap-east-1,0.1625612846262265,0.22472925511231057,0.2307306592214126,0.9964863232396288,43749898
1185,2022-11-08 06:19:16,ap-northeast-1,0.2996487156704462,0.4361752796004453,0.5088335088778752,0.992159535361444,36166635
1186,2022-11-08 06:19:16,ap-northeast-2,0.34327036594470234,0.4233404312311759,0.4546366323408391,0.9969700201055356,4706410
1187,2022-11-08 06:19:16,ap-south-1,0.2688991680318568,0.3555375293508604,0.383302813155861,0.9963049004098248,7912137
1188,2022-11-08 06:19:16,ap-southeast-1,0.074562674042562,0.10614606107401718,0.11229823370326802,0.9959843470817327,156946155
1189,2022-11-08 06:19:16,ca-central-1,0.15023905081016195,0.20464690327304386,0.2136191739669876,0.9961645804181307,22174191
1190,2022-11-08 06:19:16,eu-central-1,0.073608169264652,0.10860322652130316,0.12020703939203187,0.9966459307775978,266356300
1191,2022-11-08 06:19:16,eu-north-1,0.1326959893952995,0.1869491946499637,0.198346698738417,0.9983503078908524,29262420
1192,2022-11-08 06:19:16,eu-south-1,0.10195728711957071,0.14998271892712386,0.1739939530315277,0.9958063955900643,31579699
1193,2022-11-08 06:19:16,eu-west-1,0.18682437568793245,0.22212076059971164,0.2632515301878543,0.9987409872335297,2397030
1194,2022-11-08 06:19:16,eu-west-2,0.10447250568330024,0.15009480142557882,0.1609496106649452,0.996721902255516,35692088
1195,2022-11-08 06:19:16,eu-west-3,0.09925153259978033,0.14181624310055585,0.1527318798624624,0.9977933472295438,35806968
1196,2022-11-08 06:19:16,us-east-1,0.09939397136896566,0.14468597106643233,0.15785825134820156,0.9969657441766755,94694046
1197,2022-11-08 06:19:16,us-east-2,0.14786731912514933,0.21329277908698238,0.22890833667276053,0.9967931360527562,61702214
1198,2022-11-08 06:19:16,us-west-2,0.25351301604186766,0.3429915013191448,0.34593973986549503,0.9957843745871918,28444226
1199,2022-11-09 06:10:02,ap-east-1,0.1673697576564822,0.23357252681141796,0.24602614513239393,0.99553109390226,40514670
1200,2022-11-09 06:10:02,ap-northeast-1,0.30458114268578207,0.437868102457978,0.5016373228646198,0.9940846897215541,37965016
1201,2022-11-09 06:10:02,ap-northeast-2,0.3068237934251222,0.3912527304535715,0.4081662642097932,0.9962407764692074,6237384
1202,2022-11-09 06:10:02,ap-south-1,0.28474002599433856,0.36881676419987836,0.39293876773740655,0.995928958164072,7569272
1203,2022-11-09 06:10:02,ap-southeast-1,0.07414991979158866,0.10542066756332516,0.11167742749472322,0.9957107863270748,159023711
1204,2022-11-09 06:10:02,ca-central-1,0.15892917892311986,0.2161062846532368,0.23807349789736296,0.9964083952981191,15424672
1205,2022-11-09 06:10:02,eu-central-1,0.0758497633774337,0.1115117680121462,0.12391916272680878,0.9949746579810114,254470076
1206,2022-11-09 06:10:02,eu-north-1,0.14514035014761095,0.2038567178627004,0.21740217721828972,0.997664563336187,41380513
1207,2022-11-09 06:10:02,eu-south-1,0.11508925931659131,0.16415456376697737,0.19470157307667135,0.9918996309567494,18362423
1208,2022-11-09 06:10:02,eu-west-1,0.18522285253284212,0.21680562358557265,0.262090177778533,0.99863436728791,2294727
1209,2022-11-09 06:10:02,eu-west-2,0.10141158168734175,0.14619193182094148,0.1604592845142694,0.9961751796627926,39233377
1210,2022-11-09 06:10:02,eu-west-3,0.10771935568224295,0.14930031884776007,0.16176214061330246,0.9967915325414263,32943045
1211,2022-11-09 06:10:02,us-east-1,0.09922655175186182,0.14491737169960098,0.1589590273621559,0.9966008283103817,106460520
1212,2022-11-09 06:10:02,us-east-2,0.15539909769682705,0.22112043930223718,0.23528504143381115,0.9965525838341533,62582104
1213,2022-11-09 06:10:02,us-west-2,0.24777498565500777,0.3357716492056466,0.33981144342798814,0.995659309493051,33941990
1214,2022-11-10 05:48:17,ap-east-1,0.16856937638360356,0.2379059392006635,0.2597174485881924,0.9922568001145105,56520598
1215,2022-11-10 05:48:17,ap-northeast-1,0.29365057924767296,0.4228221298908735,0.482632986868711,0.9912687350474928,38312226
1216,2022-11-10 05:48:17,ap-northeast-2,0.30950033034149677,0.39272487483523794,0.415809657265383,0.9950006786684076,5716158
1217,2022-11-10 05:48:17,ap-south-1,0.2893647682485747,0.3763207913762438,0.4009258429654556,0.9953977044419442,8583353
1218,2022-11-10 05:48:17,ap-southeast-1,0.08247006148336727,0.11874305430057075,0.13046724806279955,0.9938863478369004,196592106
1219,2022-11-10 05:48:17,ca-central-1,0.17958920599143957,0.23640124428295098,0.25957797912928804,0.9967066556624435,11233516
1220,2022-11-10 05:48:17,eu-central-1,0.0850884617959001,0.12672230028708767,0.14441760283715402,0.9952746225507818,237681330
1221,2022-11-10 05:48:17,eu-north-1,0.14655357560131577,0.20499279696177583,0.21622584858955227,0.9963284119897785,25156029
1222,2022-11-10 05:48:17,eu-south-1,0.11988596609410916,0.17129983859809195,0.20036824269630082,0.9921069854645379,18986698
1223,2022-11-10 05:48:17,eu-west-1,0.19095952769237817,0.22248859316990635,0.26212639205362914,0.998255422327046,2331040
1224,2022-11-10 05:48:17,eu-west-2,0.10817176451637595,0.15425858588847782,0.16875185002854576,0.994619718198483,36388354
1225,2022-11-10 05:48:17,eu-west-3,0.10957047821307367,0.15281143498238767,0.16507843589353527,0.9966090470249735,38879492
1226,2022-11-10 05:48:17,us-east-1,0.10278327080028382,0.14949292980810186,0.16373317571021057,0.9966253212315608,111452658
